Contract Address,Balance (OP),Contract Type
0x450A5A7a65c9A6010f9f8b8D123EC8f99bfCbf95,161.66508009235545,Other
0xd315D9d72f34F39F08f448541a0E967958665a3d,5.6699,Other
0x18139F297cCf99A686C847eb5406B62e5330837F,3424.8426415249455,ERC20 Token
0x01E549e26E83f1Dd467cD57dCD76e86d29cE816b,14164.939999999999,Other
0xfb034F5BB2C11813781097B07Ccd44b2A6938D52,350.0,Other
0xF00F69992177e210822F8eD35EF3E650d4440aa3,2.0,Gnosis Safe Proxy
0xF92D4E3412E7971F5665a79Fd680e4B5E100d787,5831.9056175000005,Gnosis Safe Proxy
0x8F7A82110e19A603955392125B1c30C60dDc89D8,35000.0,Gnosis Safe Proxy
0x474A23E4Fb2E937D5876A487560D71fe9829fCDF,18.04122956270668,Vault Contract
0x22ED1e210bb39a423663a81038A7D6478410aA05,6561.048180689116,Gnosis Safe Proxy
0x1Ef272A3D6D0d07Dd1ef065bB5238786e46d8d8C,4801.609195402299,Other
0x18017fB5ff5d8f2B4e43614968c792E67Aa47A5b,10865.0,Other
0x639a3DC496d53269Cd85fb2e17B23eD936F69FDd,7.77907429015947,Other
0xC5B4e945a13F634BBfCe3a782d2410fe89423D81,103.3,Vault Contract
0x0F174dD5F7Bc8a25248Cf5b0819ff20E0Fc454eb,1.6,Other
0x29a740A64D4AF643A17fEd36Bf8Dd13477015835,15.0,Gnosis Safe Proxy
0x6938b5b43b281bF24202437b86bbd2866a79cF6C,876.3248576571781,ERC20 Token
0x75358158458a2e197de036fbE631Ba691C5ac15B,3.6433459612323413,Other
0xdE6f7a8B3381A0AE43089ec00C89645895985b40,2.5,Other
0x7348ecF33855793Cf9FD2F128e260C6E4B8eE54e,2.66307762,Gnosis Safe Proxy
0x840D2F8a06627E03b0b331c56df61BBd6a11F0AF,1.69132722,Other
0x66f29BaFE49d1cF8ceE1d3b95E35038C010860E3,1641.0,Vault Contract
0xEBe66B7464A096D4a4D206fd432e95446B8434E6,2.418828054275785,Gnosis Safe Proxy
0x42D55F9c09bbcCc699820cF0AE399f7b2918D07F,13760.0,Gnosis Safe Proxy
0xb8a933b49a4aA556bcbe7D70AC9bDc9f7F72120c,3.690712215004734,Other
0x7e92BDdB22b79E232a62B884F164463dE34a0fB5,8.7465,Other
0x716a8b9dd056055C84b7A2BA0a016099465a5187,10138.43698142625,Gnosis Safe Proxy
0x2182AD675c44BaBbf9B958e717438A50907a240C,199999.99999999997,Gnosis Safe Proxy
0x6Ef64bbf9b470685Be7Fdd053779589815E4CEcd,1.9992,Other
0x97b8d55D3bBaBE8808076224D575616b2D4d9554,4.9,Gnosis Safe Proxy
0xa78D5869B5B9A0D5F667329Ee394aA240EB9BF24,250.0,Other
0xb62b34eC3501EF54f6b0B36AaB82657CD5e1320D,45.72514602722935,Gnosis Safe Proxy
0x0Ba911069B8825B695eE559872de39E6867984AD,1000.0,Gnosis Safe Proxy
0x815357CaC24319a269304E45a5a56E6c2AbB0Cc8,1355.285979763678,ERC20 Token
0xBE931744BF0B4c4C580d375DE04ee7Fc2F52c568,10.901802643846983,Other
0x273c920980066a8743DD41ec8504d63A0EFF638d,984.0,Vault Contract
0x26BaE3Ee099347B51b5E02894AB0Fc0D9232C495,53.8,Vault Contract
0x289405b0efFC718CdBd4CF4a46844Dd083bd740e,4.5825,Other
0xfc85b0F4c18A78696AAdaf121C1bBeF2DB69dA3f,5.792108218286719,Gnosis Safe Proxy
0xc00fAE70e9381f4695685815405e5467f7ef815b,8.84,Other
0x6e380ad5D15249eF2DE576E3189fc49B5713BE4f,4138.689595757396,Vault Contract
0xcEd28D661c950550704d18421da12eD47D00C487,6.0,Other
0xf531967D3706E541B631178Feb6EbB9c22D80ea0,27.4,Vault Contract
0x95125354F8D6c3D90041D5ed8CDc2FA3d0Af5F92,170.17952530994896,Gnosis Safe Proxy
